6,8192,8195,,,,,6,8192,8195,,-3
112,8189,8189,,,,,112,8189,8189,,0
222,8175,8176,,,,,222,8175,8176,,-1
330,8156,8157,,,,,330,8156,8157,,-1
439,8130,8131,,,,,439,8130,8131,,-1
547,8098,8100,,,,,547,8098,8100,,-2
654,8062,8064,,,,,654,8062,8064,,-2
760,8019,8022,,,,,760,8019,8022,,-3
869,7969,7974,,,,,869,7969,7974,,-5
978,7915,7919,,,,,978,7915,7919,,-4
1086,7853,7859,,,,,1086,7853,7859,,-6
1198,7783,7789,,,,,1198,7783,7789,,-6
1313,7704,7712,,,,,1313,7704,7712,,-8
1429,7619,7628,,,,,1429,7619,7628,,-9
1546,7526,7537,,,,,1546,7526,7537,,-11
1662,7426,7439,,,,,1662,7426,7439,,-13
1776,7321,7335,,,,,1776,7321,7335,,-14
1896,7203,7219,,,,,1896,7203,7219,,-16
2011,7084,7102,,,,,2011,7084,7102,,-18
2132,6951,6973,,,,,2132,6951,6973,,-22
2243,6822,6846,,,,,2243,6822,6846,,-24
2365,6672,6699,,,,,2365,6672,6699,,-27
2476,6531,6561,,,,,2476,6531,6561,,-30
2581,6391,6422,,,,,2581,6391,6422,,-31
2693,6235,6271,,,,,2693,6235,6271,,-36
2800,6083,6120,,,,,2800,6083,6120,,-37
2910,5915,5957,,,,,2910,5915,5957,,-42
3016,5752,5794,,,,,3016,5752,5794,,-42
3133,5564,5610,,,,,3133,5564,5610,,-46
3248,5371,5420,,,,,3248,5371,5420,,-49
3367,5162,5218,,,,,3367,5162,5218,,-56
3481,4959,5017,,,,,3481,4959,5017,,-58
3600,4739,4800,,,,,3600,4739,4800,,-61
3715,4519,4585,,,,,3715,4519,4585,,-66
3832,4288,4358,,,,,3832,4288,4358,,-70
3950,4049,4123,,,,,3950,4049,4123,,-74
4068,3813,3887,,,,,4068,3813,3887,,-74
4179,3595,3670,,,,,4179,3595,3670,,-75
4284,3397,3471,,,,,4284,3397,3471,,-74
4401,3180,3253,,,,,4401,3180,3253,,-73
4519,2974,3046,,,,,4519,2974,3046,,-72
4636,2771,2844,,,,,4636,2771,2844,,-73
4749,2584,2656,,,,,4749,2584,2656,,-72
4854,2416,2488,,,,,4854,2416,2488,,-72
4966,2244,2313,,,,,4966,2244,2313,,-69
5086,2065,2134,,,,,5086,2065,2134,,-69
5201,1902,1969,,,,,5201,1902,1969,,-67
5353,1695,1761,,,,,5353,1695,1761,,-66
5465,1550,1615,,,,,5465,1550,1615,,-65
5570,1421,1484,,,,,5570,1421,1484,,-63
5681,1291,1352,,,,,5681,1291,1352,,-61
5786,1174,1231,,,,,5786,1174,1231,,-57
5900,1051,1108,,,,,5900,1051,1108,,-57
6021,930,984,,,,,6021,930,984,,-54
6132,824,878,,,,,6132,824,878,,-54
6237,730,781,,,,,6237,730,781,,-51
6355,632,680,,,,,6355,632,680,,-48
6468,543,589,,,,,6468,543,589,,-46
6588,458,500,,,,,6588,458,500,,-42
6703,383,423,,,,,6703,383,423,,-40
6822,312,348,,,,,6822,312,348,,-36
6935,252,285,,,,,6935,252,285,,-33
7056,193,224,,,,,7056,193,224,,-31
7169,147,174,,,,,7169,147,174,,-27
7277,108,132,,,,,7277,108,132,,-24
7388,74,94,,,,,7388,74,94,,-20
7498,48,64,,,,,7498,48,64,,-16
7606,27,40,,,,,7606,27,40,,-13
7715,13,21,,,,,7715,13,21,,-8
7823,4,9,,,,,7823,4,9,,-5
7931,4,3,,,,,7931,4,3,,1
8042,8196,8195,,,,,,,,,
8149,8190,8189,,,,,,,,,
8255,8176,8176,,,,,,,,,
