6,28670,28675,,-5
117,28669,28669,,0
236,28653,28653,,0
347,28632,28633,,-1
458,28605,28606,,-1
570,28571,28573,,-2
676,28534,28535,,-1
794,28484,28488,,-4
912,28429,28433,,-4
1025,28368,28373,,-5
1143,28299,28305,,-6
1259,28222,28229,,-7
1375,28141,28149,,-8
1493,28048,28059,,-11
1605,27956,27968,,-12
1726,27848,27861,,-13
1838,27742,27756,,-14
1944,27636,27652,,-16
2055,27516,27535,,-19
2159,27400,27422,,-22
2272,27268,27292,,-24
2378,27138,27163,,-25
2489,26994,27023,,-29
2594,26855,26886,,-31
2705,26700,26733,,-33
2811,26547,26583,,-36
2929,26370,26408,,-38
3043,26191,26233,,-42
3161,25998,26044,,-46
3275,25805,25854,,-49
3393,25599,25652,,-53
3508,25389,25448,,-59
3628,25168,25228,,-60
3743,24949,25011,,-62
3864,24707,24775,,-68
3976,24475,24549,,-74
4081,24255,24332,,-77
4194,24012,24094,,-82
4314,23746,23831,,-85
4420,23504,23594,,-90
4528,23250,23347,,-97
4633,23000,23101,,-101
4793,22611,22717,,-106
4915,22302,22416,,-114
5027,22011,22130,,-119
5148,21694,21814,,-120
5260,21390,21517,,-127
5366,21097,21231,,-134
5479,20780,20920,,-140
5597,20438,20585,,-147
5709,20109,20263,,-154
5815,19794,19949,,-155
5931,19441,19605,,-164
6047,19088,19255,,-167
6155,18759,18931,,-172
6264,18431,18601,,-170
6372,18100,18276,,-176
6479,17774,17953,,-179
6588,17448,17626,,-178
6696,17117,17302,,-185
6805,16786,16975,,-189
6913,16456,16648,,-192
7023,16125,16318,,-193
7130,15799,15993,,-194
7239,15466,15667,,-201
7346,15142,15344,,-202
7454,14817,15022,,-205
7564,14483,14692,,-209
7673,14152,14361,,-209
7780,13823,14038,,-215
7888,13495,13713,,-218
7999,13165,13380,,-215
8119,12793,13021,,-228
8231,12453,12685,,-232
8337,12134,12365,,-231
8449,11793,12025,,-232
8570,11425,11661,,-236
8682,11084,11325,,-241
8802,10721,10963,,-242
8921,10361,10609,,-248
9036,10010,10261,,-251
9140,9693,9946,,-253
9252,9356,9609,,-253
9356,9038,9297,,-259
9471,8702,8956,,-254
9586,8350,8610,,-260
9700,8022,8275,,-253
9807,7720,7975,,-255
9919,7407,7657,,-250
10037,7085,7331,,-246
10146,6796,7042,,-246
10256,6507,6752,,-245
10366,6224,6466,,-242
10474,5960,6197,,-237
10584,5688,5924,,-236
10690,5433,5665,,-232
10802,5172,5401,,-229
10908,4936,5159,,-223
11019,4687,4910,,-223
11138,4431,4648,,-217
11244,4207,4422,,-215
11356,3978,4190,,-212
11460,3769,3978,,-209
11573,3552,3756,,-204
11677,3355,3557,,-202
11789,3151,3346,,-195
11909,2938,3128,,-190
12023,2744,2930,,-186
12140,2552,2733,,-181
12254,2370,2547,,-177
12359,2209,2382,,-173
12471,2043,2210,,-167
12592,1873,2035,,-162
12704,1722,1879,,-157
12810,1586,1736,,-150
12923,1445,1590,,-145
13041,1303,1443,,-140
13159,1170,1305,,-135
13275,1048,1176,,-128
13393,928,1050,,-122
13508,819,936,,-117
13612,726,837,,-111
13727,631,736,,-105
13843,542,639,,-97
13959,458,550,,-92
14076,382,466,,-84
14187,319,394,,-75
14308,253,320,,-67
14415,202,263,,-61
14523,157,211,,-54
14631,115,164,,-49
14743,81,122,,-41
14851,53,87,,-34
14960,32,58,,-26
15068,16,35,,-19
15178,5,18,,-13
15286,4,7,,-3
15394,4,3,,1
15504,28676,28675,,
15610,28670,28669,,
15717,28656,28656,,
15827,28637,28637,,
15935,28610,28612,,
16044,28579,28581,,
16163,28538,28540,,
16278,28490,28494,,
16396,28435,28439,,
16510,28375,28380,,
16633,28304,28310,,
16745,28230,28238,,
16866,28144,28154,,
16978,28058,28069,,
17083,27972,27985,,
17194,27874,27888,,
17300,27775,27790,,
17411,27665,27682,,
17517,27555,27573,,
17629,27431,27452,,
17749,27292,27316,,
17864,27150,27178,,
17982,26999,27028,,
18101,26840,26872,,
18211,26686,26721,,
18319,26529,26568,,
18428,26365,26404,,
18538,26193,26236,,
18647,26016,26061,,
18757,25832,25879,,
18866,25639,25693,,
18974,25446,25503,,
19082,25244,25306,,
19190,25040,25104,,
19300,24825,24893,,
19408,24608,24678,,
19516,24385,24460,,
19626,24152,24233,,
19732,23918,24001,,
19840,23679,23764,,
19947,23432,23525,,
20053,23183,23279,,
20162,22921,23024,,
20271,22654,22759,,
20379,22381,22494,,
20487,22105,22222,,
20597,21817,21939,,
20706,21528,21653,,
20813,21232,21363,,
