14502,524,672,,,,,,,,,
14614,297,413,,,,,,,,,
14734,126,206,,,,,,,,,
14839,36,83,,,,,,,,,
14950,3,15,,,,,,,,,
15054,3,3,,,,,,,,,
15172,20483,20483,,,,,,,,,
15286,20454,20454,,,,,,,,,
15401,20358,20361,,,,,,,,,
15512,20202,20205,,,,,,,,,
15620,19987,19996,,,,,,,,,
15725,19719,19733,,,,,,,,,
15834,19392,19412,,,,,,,,,
15943,19062,19082,,,,,,,,,
16051,18734,18759,,,,,,,,,
16160,18400,18429,,,,,,,,,
16269,18073,18101,,,,,,,,,
16375,17748,17780,,,,,,,,,
16486,17413,17448,,,,,,,,,
16593,17088,17124,,,,,,,,,
16702,16754,16797,,,,,,,,,
16811,16425,16470,,,,,,,,,
16919,16095,16143,,,,,,,,,
17027,15768,15818,,,,,,,,,
17136,15437,15490,,,,,,,,,
17243,15117,15171,,,,,,,,,
17351,14787,14842,,,,,,,,,
17459,14454,14516,,,,,,,,,
17569,14121,14187,,,,,,,,,
17678,13790,13859,,,,,,,,,
17788,13455,13526,,,,,,,,,
17895,13131,13202,,,,,,,,,
18004,12803,12875,,,,,,,,,
18115,12464,12543,,,,,,,,,
18223,12135,12218,,,,,,,,,
18330,11808,11894,,,,,,,,,
18440,11475,11560,,,,,,,,,
18548,11143,11237,,,,,,,,,
18657,10816,10907,,,,,,,,,
18764,10488,10587,,,,,,,,,
18873,10161,10260,,,,,,,,,
18981,9834,9932,,,,,,,,,
19089,9500,9608,,,,,,,,,
19196,9176,9284,,,,,,,,,
19305,8847,8958,,,,,,,,,
19413,8522,8633,,,,,,,,,
19522,8187,8304,,,,,,,,,
19630,7861,7979,,,,,,,,,
19740,7524,7645,,,,,,,,,
19851,7191,7315,,,,,,,,,
19959,6857,6987,,,,,,,,,
20067,6530,6662,,,,,,,,,
20175,6201,6338,,,,,,,,,
20284,5871,6009,,,,,,,,,
20392,5547,5683,,,,,,,,,
20500,5214,5357,,,,,,,,,
20610,4881,5027,,,,,,,,,
20717,4556,4706,,,,,,,,,
20826,4225,4377,,,,,,,,,
20934,3896,4053,,,,,,,,,
21043,3564,3722,,,,,,,,,
21154,3228,3389,,,,,,,,,
21263,2895,3058,,,,,,,,,
21371,2569,2735,,,,,,,,,
21481,2234,2406,,,,,,,,,
21592,1899,2072,,,,,,,,,
21699,1569,1748,,,,,,,,,
21809,1240,1414,,,,,,,,,
21917,909,1091,,,,,,,,,
22028,601,761,,,,,,,,,
22136,366,495,,,,,,,,,
22246,184,281,,,,,,,,,
22354,67,130,,,,,,,,,
22480,6,27,,,,,,,,,
22588,4,3,,,,,,,,,
22701,20484,20483,,,,,,,,,
22820,20452,20452,,,,,,,,,
22931,20359,20359,,,,,,,,,
