t,6,p,0,s,0
t,107,p,0,s,0
t,206,p,175,s,2500
t,306,p,602,s,5100
t,407,p,908,s,2500
t,507,p,964,s,100
t,608,p,1138,s,2550
t,709,p,1566,s,5100
t,810,p,1874,s,2550
t,910,p,1930,s,50
t,1012,p,2107,s,2450
t,1112,p,2540,s,5000
t,1212,p,2838,s,2350
t,1314,p,2898,s,50
t,1414,p,3075,s,2600
t,1515,p,3510,s,5100
t,1616,p,3814,s,2550
t,1717,p,3863,s,100
t,1815,p,4039,s,2450
t,1915,p,371,s,5050
t,2015,p,672,s,2450
t,2117,p,729,s,0
t,2217,p,900,s,2500
t,2318,p,1335,s,5000
t,2419,p,1637,s,2500
t,2519,p,1689,s,50
t,2620,p,1867,s,2550
t,2720,p,2291,s,4950
t,2821,p,2598,s,2450
t,2921,p,2654,s,50
t,3023,p,2832,s,2550
t,3123,p,3258,s,5000
t,3225,p,3566,s,2500
t,3324,p,3615,s,50
t,3427,p,3795,s,2550
t,3526,p,122,s,4950
t,3628,p,429,s,2450
t,3726,p,480,s,50
t,3826,p,656,s,2550
t,3926,p,1084,s,5000
t,4026,p,1386,s,2500
t,4128,p,1442,s,50
t,4229,p,1619,s,2550
t,4328,p,2044,s,5100
t,4427,p,2345,s,2500
t,4531,p,2401,s,50
t,4628,p,2572,s,2450
t,4730,p,3005,s,4950
t,4831,p,3308,s,2450
t,4932,p,3362,s,100
t,5031,p,3539,s,2550
t,5133,p,3970,s,5050
t,5233,p,177,s,2550
t,5335,p,233,s,50
t,5434,p,405,s,2500
t,5535,p,837,s,5000
t,5635,p,1140,s,2400
t,5736,p,1197,s,50
t,5836,p,1372,s,2550
t,5939,p,1809,s,5000
t,6039,p,2108,s,2500
t,6139,p,2159,s,50
t,6241,p,2340,s,2550
t,6338,p,2760,s,4950
t,6442,p,3071,s,2400
t,6543,p,3122,s,50
t,6641,p,3297,s,2500
t,6741,p,3729,s,5000
t,6842,p,4030,s,2450
t,6942,p,4083,s,0
t,7042,p,163,s,2600
t,7143,p,592,s,5000
t,7244,p,894,s,2400
t,7344,p,947,s,50
t,7446,p,1128,s,2550
t,7545,p,1554,s,5050
t,7647,p,1860,s,2500
t,7745,p,1910,s,50
t,7848,p,2090,s,2600
t,7945,p,2508,s,5050
t,8050,p,2823,s,2550
t,8148,p,2874,s,50
t,8249,p,3054,s,2500
t,8350,p,3491,s,5150
t,8451,p,3790,s,2500
t,8552,p,3839,s,50
t,8652,p,4018,s,2600
t,8751,p,351,s,5050
t,8853,p,658,s,2500
t,8953,p,708,s,50
t,9053,p,884,s,2450
t,9153,p,1322,s,4950
t,9254,p,1626,s,2450
t,9357,p,1677,s,50
t,9455,p,1853,s,2600
t,9558,p,2292,s,5050
t,9657,p,2589,s,2550
t,9757,p,2641,s,50
t,9857,p,2816,s,2550
t,9957,p,3242,s,5000
t,10058,p,3552,s,2400
t,10160,p,3607,s,0
t,10259,p,3781,s,2500
t,10361,p,118,s,5000
t,10461,p,422,s,2500
t,10560,p,473,s,50
t,10661,p,647,s,2550
t,10764,p,1093,s,5050
t,10865,p,1389,s,2350
t,10964,p,1435,s,0
t,11066,p,1618,s,2600
t,11165,p,2046,s,5100
t,11264,p,2348,s,2450
t,11365,p,2403,s,50
t,11466,p,2581,s,2550
t,11566,p,3002,s,5000
t,11668,p,3313,s,2500
t,11767,p,3367,s,50
t,11870,p,3547,s,2500
t,11969,p,3970,s,5000
t,12072,p,2,s,50
t,12171,p,2,s,0
t,12273,p,2,s,0
t,12371,p,2,s,0
t,12471,p,2,s,0
t,12572,p,2,s,0
t,12673,p,2,s,0
t,12774,p,2,s,0
t,12873,p,2,s,0
t,12976,p,2,s,0
t,13074,p,2,s,0
t,13177,p,2,s,0
