t,10,p1,4,p2,6,s1,0,s2,0,L1,32,L2,40
t,30,p1,4,p2,9,s1,0,s2,0,L1,-232,L2,-228
t,51,p1,25,p2,34,s1,0,s2,150,L1,-408,L2,-372
t,71,p1,64,p2,73,s1,850,s2,1250,L1,-416,L2,-372
t,92,p1,104,p2,112,s1,1750,s2,1850,L1,-408,L2,-368
t,112,p1,146,p2,153,s1,2000,s2,2000,L1,-408,L2,-368
t,132,p1,188,p2,194,s1,1950,s2,2000,L1,-420,L2,-376
t,153,p1,231,p2,233,s1,2000,s2,1950,L1,-400,L2,-396
t,174,p1,273,p2,273,s1,2050,s2,1850,L1,-388,L2,-404
t,194,p1,312,p2,315,s1,2000,s2,2000,L1,-408,L2,-392
t,216,p1,356,p2,357,s1,1950,s2,2050,L1,-408,L2,-424
t,236,p1,400,p2,395,s1,2100,s2,1900,L1,-388,L2,-424
t,257,p1,441,p2,436,s1,2000,s2,1950,L1,-392,L2,-436
t,277,p1,482,p2,474,s1,1900,s2,1900,L1,-412,L2,-452
t,298,p1,523,p2,515,s1,2000,s2,1900,L1,-396,L2,-468
t,318,p1,563,p2,554,s1,2050,s2,1950,L1,-400,L2,-476
t,338,p1,605,p2,593,s1,1950,s2,1950,L1,-400,L2,-484
t,360,p1,649,p2,636,s1,2050,s2,1950,L1,-400,L2,-496
t,379,p1,689,p2,672,s1,2000,s2,1950,L1,-404,L2,-508
t,399,p1,727,p2,711,s1,1950,s2,1850,L1,-420,L2,-532
t,420,p1,768,p2,748,s1,2000,s2,1850,L1,-400,L2,-544
t,440,p1,810,p2,784,s1,2050,s2,1900,L1,-400,L2,-572
t,460,p1,850,p2,822,s1,1950,s2,1800,L1,-428,L2,-620
t,481,p1,892,p2,859,s1,1900,s2,1800,L1,-408,L2,-648
t,500,p1,933,p2,894,s1,2150,s2,1800,L1,-396,L2,-684
t,522,p1,976,p2,933,s1,2000,s2,1800,L1,-404,L2,-712
t,542,p1,1015,p2,970,s1,1950,s2,1850,L1,-408,L2,-744
t,562,p1,1058,p2,1004,s1,1950,s2,1700,L1,-400,L2,-792
t,583,p1,1101,p2,1039,s1,2100,s2,1700,L1,-408,L2,-844
t,620,p1,1174,p2,1099,s1,1950,s2,1650,L1,-412,L2,-948
t,640,p1,1213,p2,1135,s1,2000,s2,1700,L1,-420,L2,-1000
t,660,p1,1256,p2,1170,s1,1950,s2,1800,L1,-408,L2,-1000
t,680,p1,1295,p2,1200,s1,2050,s2,1650,L1,-420,L2,-1000
t,700,p1,1335,p2,1225,s1,1950,s2,1300,L1,-440,L2,-1000
t,721,p1,1374,p2,1250,s1,1900,s2,1250,L1,-444,L2,-1000
t,741,p1,1417,p2,1272,s1,1950,s2,1150,L1,-432,L2,-1000
