t,7,p1,4091,p2,4092,s1,0,s2,0
t,27,p1,4089,p2,4092,s1,-50,s2,0
t,48,p1,4068,p2,4069,s1,-500,s2,-850
t,67,p1,4015,p2,4005,s1,-2100,s2,-2900
t,89,p1,3917,p2,3902,s1,-3650,s2,-4500
t,109,p1,3818,p2,3801,s1,-4850,s2,-5000
t,131,p1,3704,p2,3691,s1,-5050,s2,-5100
t,151,p1,3602,p2,3591,s1,-5200,s2,-4950
t,171,p1,3496,p2,3492,s1,-5100,s2,-5000
t,192,p1,3391,p2,3386,s1,-5000,s2,-5000
t,212,p1,3289,p2,3280,s1,-5000,s2,-4950
t,233,p1,3182,p2,3176,s1,-4900,s2,-5100
t,258,p1,3058,p2,3050,s1,-5050,s2,-5000
t,278,p1,2953,p2,2950,s1,-4950,s2,-5000
t,299,p1,2848,p2,2845,s1,-5000,s2,-5000
t,319,p1,2749,p2,2744,s1,-5000,s2,-5000
t,340,p1,2642,p2,2640,s1,-5150,s2,-5050
t,361,p1,2536,p2,2534,s1,-4950,s2,-5000
t,414,p1,2268,p2,2267,s1,-4900,s2,-5050
t,435,p1,2163,p2,2162,s1,-4800,s2,-5000
t,455,p1,2061,p2,2064,s1,-5000,s2,-4950
t,476,p1,1962,p2,1960,s1,-4850,s2,-4900
t,497,p1,1871,p2,1855,s1,-4700,s2,-5000
t,517,p1,1780,p2,1755,s1,-4400,s2,-5050
t,538,p1,1693,p2,1651,s1,-4100,s2,-4950
t,560,p1,1602,p2,1542,s1,-4150,s2,-5000
t,580,p1,1523,p2,1442,s1,-4050,s2,-4900
t,600,p1,1445,p2,1336,s1,-3800,s2,-5000
t,620,p1,1373,p2,1236,s1,-3600,s2,-5050
t,641,p1,1301,p2,1136,s1,-3500,s2,-5000
t,662,p1,1227,p2,1031,s1,-3500,s2,-5050
t,682,p1,1151,p2,925,s1,-3550,s2,-4950
t,703,p1,1071,p2,826,s1,-3650,s2,-5050
t,724,p1,982,p2,716,s1,-3950,s2,-4950
t,745,p1,874,p2,615,s1,-4650,s2,-5000
t,766,p1,760,p2,510,s1,-5150,s2,-5000
t,785,p1,654,p2,410,s1,-5300,s2,-5050
t,806,p1,547,p2,304,s1,-5300,s2,-5000
t,827,p1,428,p2,198,s1,-5350,s2,-5050
t,848,p1,314,p2,98,s1,-5400,s2,-4900
t,869,p1,200,p2,30,s1,-5450,s2,-3900
t,890,p1,91,p2,7,s1,-5400,s2,-1800
t,909,p1,28,p2,3,s1,-5200,s2,-350
t,929,p1,9,p2,3,s1,-3200,s2,-50
t,950,p1,5,p2,3,s1,-900,s2,0
t,971,p1,5,p2,3,s1,-200,s2,0
