t,5,p,2250,s,0
t,73,p,2250,s,0
t,129,p,2250,s,0
t,186,p,2250,s,0
t,243,p,2250,s,0
t,307,p,2250,s,0
t,364,p,2250,s,0
t,428,p,2250,s,0
t,490,p,2250,s,0
t,553,p,2250,s,0
t,616,p,2250,s,0
t,681,p,2250,s,0
t,774,p,2251,s,0
t,838,p,2253,s,50
t,900,p,2257,s,100
t,962,p,2267,s,150
t,1023,p,2281,s,200
t,1085,p,2302,s,400
t,1149,p,2324,s,350
t,1211,p,2348,s,400
t,1272,p,2373,s,450
t,1335,p,2401,s,450
t,1397,p,2436,s,550
t,1460,p,2476,s,650
t,1523,p,2522,s,700
t,1586,p,2572,s,800
t,1649,p,2630,s,950
t,1710,p,2690,s,950
t,1771,p,2752,s,1000
t,1833,p,2818,s,1050
t,1897,p,2890,s,1100
t,1960,p,2961,s,1150
t,2022,p,3039,s,1250
t,2084,p,3115,s,1200
t,2145,p,3197,s,1350
t,2206,p,3281,s,1350
t,2315,p,3443,s,1500
t,2377,p,3540,s,1550
t,2433,p,3630,s,1550
t,2495,p,3733,s,1650
t,2551,p,3828,s,1650
t,2608,p,3929,s,1800
t,2672,p,4046,s,1850
t,2736,p,73,s,1900
t,2794,p,187,s,1950
t,2887,p,375,s,2050
t,2944,p,495,s,2100
t,3002,p,620,s,2050
t,3061,p,753,s,2200
t,3129,p,906,s,2250
t,3199,p,1069,s,2350
t,3256,p,1203,s,2300
t,3321,p,1360,s,2400
t,3386,p,1527,s,2500
t,3444,p,1676,s,2550
t,3514,p,1868,s,2650
t,3571,p,2027,s,2800
t,3635,p,2209,s,2800
t,3699,p,2390,s,2800
t,3756,p,2557,s,2800
t,3815,p,2730,s,2900
t,3878,p,2919,s,3000
t,3947,p,3136,s,3050
t,4007,p,3330,s,3150
t,4071,p,3537,s,3200
t,4132,p,3742,s,3400
t,4195,p,3955,s,3300
t,4266,p,100,s,3350
t,4332,p,331,s,3550
t,4395,p,562,s,3600
t,4465,p,815,s,3500
t,4530,p,1057,s,3750
t,4585,p,1266,s,3700
t,4647,p,1496,s,3700
t,4713,p,1749,s,3900
t,4777,p,2007,s,4000
t,4834,p,2244,s,3950
t,4900,p,2512,s,4100
t,4965,p,2784,s,4100
t,5022,p,3022,s,4200
t,5079,p,3263,s,4300
t,5136,p,3509,s,4250
t,5201,p,3795,s,4250
t,5262,p,4066,s,4400
t,5328,p,265,s,4400
t,5399,p,585,s,4500
t,5455,p,841,s,4500
t,5519,p,1128,s,4500
t,5624,p,1617,s,4550
t,5682,p,1878,s,4450
t,5746,p,2181,s,4700
t,5807,p,2471,s,4700
t,5866,p,2748,s,4700
t,5932,p,3061,s,4650
t,5996,p,3366,s,4750
t,6060,p,3673,s,4750
t,6129,p,4009,s,4700
t,6189,p,199,s,4750
t,6253,p,510,s,4850
t,6311,p,787,s,4750
t,6369,p,1069,s,4750
t,6438,p,1406,s,4900
t,6499,p,1708,s,4800
t,6561,p,2009,s,4750
t,6623,p,2313,s,4850
t,6686,p,2621,s,4900
t,6747,p,2923,s,4850
t,6810,p,3231,s,4850
t,6871,p,3533,s,4850
t,6980,p,4073,s,4800
t,7041,p,280,s,4900
t,7104,p,596,s,4900
t,7166,p,900,s,4800
t,7228,p,1205,s,4950
t,7292,p,1525,s,4900
t,7355,p,1844,s,4950
t,7417,p,2149,s,4850
t,7479,p,2456,s,4900
t,7541,p,2766,s,5050
t,7603,p,3081,s,4900
t,7665,p,3390,s,5000
t,7727,p,3704,s,5050
t,7789,p,4016,s,4950
t,7852,p,233,s,4950
t,7914,p,545,s,4850
t,7977,p,857,s,4950
t,8038,p,1161,s,4900
t,8100,p,1474,s,4900
t,8162,p,1789,s,4950
t,8224,p,2099,s,5000
t,8287,p,2418,s,4950
t,8351,p,2738,s,5000
t,8410,p,3037,s,4950
t,8473,p,3355,s,4950
t,8536,p,3672,s,5100
t,8600,p,3995,s,4950
t,8662,p,214,s,5100
t,8724,p,529,s,4900
t,8787,p,840,s,4950
